estu_consecutivo_sb11,periodo_sb11,estu_consecutivo_sbpro,periodo_sbpro
SB11201320043885,20132,EK201830005637,20183
SB11201220334286,20122,EK201830005638,20183
SB11201420087744,20142,EK201830005639,20183
SB11201020356311,20102,EK201830005640,20183
SB11201320307125,20132,EK201830005641,20183
SB11201220282558,20122,EK201830005642,20183
SB11201420079042,20142,EK201830005643,20183
SB11201320201049,20132,EK201830005644,20183
SB11201320058850,20132,EK201830005645,20183
SB11201320040980,20132,EK201830005646,20183
SB11201420458271,20142,EK201830005647,20183
SB11201120388008,20112,EK201830005648,20183
SB11201420144605,20142,EK201830005649,20183
SB1120092002482853,20092,EK201830005650,20183
SB11201220259675,20122,EK201830005651,20183
SB11201320058135,20132,EK201830005652,20183
SB11201420160831,20142,EK201830005653,20183
SB11201320033560,20132,EK201830005654,20183
SB11201420471309,20142,EK201830005655,20183
SB11201420326948,20142,EK201830005656,20183
SB1120072230929284,20072,EK201830005657,20183
SB11201120301086,20112,EK201830005658,20183
SB11201120490695,20112,EK201830005659,20183
SB1120082224439011,20082,EK201830005660,20183
SB11201110050793,20111,EK201830005691,20183
SB11201120586398,20112,EK201830005692,20183
SB11201220511527,20122,EK201830005693,20183
SB11201310001468,20131,EK201830005694,20183
SB11201220334990,20122,EK201830005695,20183
SB11201120331701,20112,EK201830005696,20183
SB11201120337695,20112,EK201830005697,20183
SB1120072045674984,20072,EK201830005698,20183
SB11201220324885,20122,EK201830005699,20183
SB11201220287089,20122,EK201830005700,20183
SB11201320197888,20132,EK201830005701,20183
SB11201320078725,20132,EK201830005702,20183
SB11201120328541,20112,EK201830005703,20183
SB11201320159826,20132,EK201830005704,20183
SB11201220187158,20122,EK201830005705,20183
SB11201020469056,20102,EK201830005719,20183
SB11201320248626,20132,EK201830005720,20183
SB1120022103266373,20022,EK201830005721,20183
SB11201220322572,20122,EK201830005722,20183
SB1120092297629826,20092,EK201830005723,20183
SB11201220536248,20122,EK201830005725,20183
SB1120082045057721,20082,EK201830005726,20183
SB11201120204848,20112,EK201830005727,20183
SB11201220328774,20122,EK201830005728,20183
SB11201320302230,20132,EK201830005729,20183
SB11201320328330,20132,EK201830005730,20183
SB11201320063883,20132,EK201830005731,20183
SB11201320526455,20132,EK201830005732,20183
SB11201220297336,20122,EK201830005734,20183
SB11201220465905,20122,EK201830005735,20183
SB11201220281402,20122,EK201830005736,20183
SB11201320135712,20132,EK201830005738,20183
SB11201020581518,20102,EK201830005740,20183
SB11201220337395,20122,EK201830005741,20183
SB1120032161805744,20032,EK201830005743,20183
SB11201220481984,20122,EK201830005744,20183
SB1120092468468455,20092,EK201830005745,20183
SB11201020309967,20102,EK201830005747,20183
SB11201220580821,20122,EK201830005748,20183
SB11201220297350,20122,EK201830005749,20183
SB11201220307796,20122,EK201830005750,20183
SB1120092228773851,20092,EK201830005751,20183
SB11201020484990,20102,EK201830005752,20183
SB11201320144117,20132,EK201830005753,20183
SB11201120320089,20112,EK201830005754,20183
SB112006208463030,20062,EK201830005755,20183
SB11201220299486,20122,EK201830005756,20183
SB11201220299477,20122,EK201830005757,20183
SB11201020335011,20102,EK201830005758,20183
SB1120092427119312,20092,EK201830005759,20183
SB11201020299997,20102,EK201830005760,20183
SB11201220257503,20122,EK201830005761,20183
SB11201120380667,20112,EK201830005762,20183
SB11201220291660,20122,EK201830005763,20183
SB11201220357789,20122,EK201830005764,20183
SB11201120337129,20112,EK201830005765,20183
SB11201320559692,20132,EK201830005767,20183
SB11201320025953,20132,EK201830005768,20183
SB1120082442803368,20082,EK201830005769,20183
SB1120062354471581,20062,EK201830005816,20183
SB11201020396020,20102,EK201830005818,20183
SB11201320190733,20132,EK201830005820,20183
SB11201120322150,20112,EK201830005823,20183
SB11201220343896,20122,EK201830005824,20183
SB112003212712798,20032,EK201830005825,20183
SB1120072034461474,20072,EK201830005826,20183
SB11201020012637,20102,EK201830005827,20183
SB11201320107718,20132,EK201830005828,20183
SB11201320192151,20132,EK201830005829,20183
SB112009237807315,20092,EK201830005830,20183
SB11201320245179,20132,EK201830005831,20183
SB11201120005790,20112,EK201830005832,20183
SB1120062052800017,20062,EK201830005833,20183
SB11201020321079,20102,EK201830005836,20183
SB11201320243335,20132,EK201830005837,20183
SB11201320066488,20132,EK201830005838,20183
SB11201420519488,20142,EK201830005839,20183
SB11201320017370,20132,EK201830005840,20183
SB11201220476977,20122,EK201830005841,20183
SB11201120336730,20112,EK201830005842,20183
SB11201320327783,20132,EK201830005843,20183
SB11201320245362,20132,EK201830005844,20183
SB1120092216760960,20092,EK201830005845,20183
SB11201320054275,20132,EK201830005846,20183
SB11201320023135,20132,EK201830005847,20183
SB11201220285801,20122,EK201830005848,20183
SB11201220252758,20122,EK201830005849,20183
SB11201120526725,20112,EK201830005850,20183
SB11201310001003,20131,EK201830005851,20183
SB11201120044453,20112,EK201830005852,20183
SB11201320076405,20132,EK201830005853,20183
SB11201220292126,20122,EK201830005854,20183
SB11201020484851,20102,EK201830005855,20183
SB11201320424264,20132,EK201830005856,20183
SB11201320307790,20132,EK201830005857,20183
SB11201220320468,20122,EK201830005858,20183
SB11201020350387,20102,EK201830005859,20183
SB11201320304634,20132,EK201830005861,20183
SB11201020189277,20102,EK201830005862,20183
SB11201220149923,20122,EK201830005863,20183
SB11201320071461,20132,EK201830005864,20183
SB11201220313246,20122,EK201830005865,20183
SB11201320022956,20132,EK201830005866,20183
SB11201320282511,20132,EK201830005868,20183
SB11201120481285,20112,EK201830005869,20183
SB11201020303098,20102,EK201830005870,20183
SB11201220300962,20122,EK201830005871,20183
SB1120062020254928,20062,EK201830005872,20183
SB11201420142200,20142,EK201830005873,20183
SB11201420560715,20142,EK201830005874,20183
SB11201320263135,20132,EK201830005875,20183
SB11201120441038,20112,EK201830005876,20183
SB11201220468273,20122,EK201830005877,20183
SB11201320135658,20132,EK201830005878,20183
SB11201220071638,20122,EK201830005879,20183
SB11201320446872,20132,EK201830005880,20183
SB11201320312304,20132,EK201830005881,20183
SB11201120342223,20112,EK201830005898,20183
SB11201220349286,20122,EK201830005899,20183
SB11201320192398,20132,EK201830005901,20183
SB11201320164270,20132,EK201830005902,20183
SB11201320126462,20132,EK201830005903,20183
SB11201220362365,20122,EK201830005904,20183
SB1120062364787272,20062,EK201830005905,20183
SB11201320511057,20132,EK201830005906,20183
SB1120082200770671,20082,EK201830005907,20183
SB11201320240916,20132,EK201830005909,20183
SB11201220303814,20122,EK201830005910,20183
SB11201220355178,20122,EK201830005911,20183
SB11201320569322,20132,EK201830005912,20183
SB11201220474373,20122,EK201830005913,20183
SB11201120279352,20112,EK201830005914,20183
SB11201320068171,20132,EK201830005915,20183
SB11201320251260,20132,EK201830005917,20183
SB1120092469550854,20092,EK201830005918,20183
SB11201120463024,20112,EK201830005920,20183
SB11201020542586,20102,EK201830005921,20183
SB11201320093565,20132,EK201830005922,20183
SB11201320024251,20132,EK201830005923,20183
SB1120092460456777,20092,EK201830005924,20183
SB11201220332689,20122,EK201830005925,20183
SB11201320473436,20132,EK201830005928,20183
SB11201020519470,20102,EK201830005930,20183
SB11201320090876,20132,EK201830005931,20183
SB11201220281559,20122,EK201830005932,20183
SB11201320497337,20132,EK201830005944,20183
SB1120092121930258,20092,EK201830005945,20183
SB11201320182503,20132,EK201830005946,20183
SB11201120314876,20112,EK201830005947,20183
SB11201210056281,20121,EK201830005948,20183
SB11201220471683,20122,EK201830005949,20183
SB11201320059467,20132,EK201830005950,20183
SB11201120306300,20112,EK201830005951,20183
SB11201320068897,20132,EK201830005952,20183
SB11201120337600,20112,EK201830005953,20183
SB1120072008669483,20072,EK201830005954,20183
SB11201220344024,20122,EK201830005955,20183
SB1120072134167617,20072,EK201830005956,20183
SB11201020320035,20102,EK201830005957,20183
SB11201220327828,20122,EK201830005958,20183
SB11201220334374,20122,EK201830005959,20183
SB11201220306624,20122,EK201830005960,20183
SB11201320023465,20132,EK201830005961,20183
SB11201320123590,20132,EK201830005962,20183
SB11201220327855,20122,EK201830005963,20183
SB1120062270296717,20062,EK201830005964,20183
SB11201120462846,20112,EK201830005965,20183
SB1120052141166974,20052,EK201830005966,20183
SB11201220304487,20122,EK201830005967,20183
SB11201020360475,20102,EK201830005968,20183
SB11201220327869,20122,EK201830005969,20183
SB11201120355185,20112,EK201830005970,20183
SB1120072342169044,20072,EK201830005971,20183
SB11201220397614,20122,EK201830005972,20183
SB11201320140521,20132,EK201830005973,20183
SB11201320196649,20132,EK201830005974,20183
SB11201320035727,20132,EK201830005975,20183
SB11201220355730,20122,EK201830005976,20183
SB11201220335313,20122,EK201830005977,20183
SB11201320184493,20132,EK201830005978,20183
SB1120022145571647,20022,EK201830005979,20183
SB11201220323258,20122,EK201830005981,20183
SB11201220297867,20122,EK201830005982,20183
SB11201320162088,20132,EK201830005983,20183
SB11201320138879,20132,EK201830005984,20183
SB1120092036799583,20092,EK201830005985,20183
SB11201420260001,20142,EK201830006001,20183
SB11201320328416,20132,EK201830006002,20183
SB11201220322426,20122,EK201830006003,20183
SB11201220312067,20122,EK201830006004,20183
SB11201320489080,20132,EK201830006005,20183
SB11201020343950,20102,EK201830006006,20183
SB11201220300896,20122,EK201830006007,20183
SB11201220287266,20122,EK201830006008,20183
SB11201320319880,20132,EK201830006009,20183
SB11201320321537,20132,EK201830006010,20183
SB11201220356566,20122,EK201830006011,20183
SB11201220297745,20122,EK201830006012,20183
SB1120092212509431,20092,EK201830006013,20183
SB1120082046160852,20082,EK201830006014,20183
SB11201420051246,20142,EK201830006015,20183
SB11201120330683,20112,EK201830006016,20183
SB11201320057901,20132,EK201830006017,20183
SB11201320176861,20132,EK201830006018,20183
SB11201220338738,20122,EK201830006019,20183
SB11201420560765,20142,EK201830006020,20183
SB11201220466987,20122,EK201830006021,20183
SB11201320192197,20132,EK201830006022,20183
SB11201220391370,20122,EK201830006023,20183
SB11201320181841,20132,EK201830006024,20183
SB11201320117885,20132,EK201830006025,20183
SB11201220054964,20122,EK201830006026,20183
SB11201320559411,20132,EK201830006028,20183
SB11201320227032,20132,EK201830006029,20183
SB11201320200224,20132,EK201830006030,20183
SB11201320074229,20132,EK201830006031,20183
SB11201320497221,20132,EK201830006033,20183
SB11201420511041,20142,EK201830006035,20183
SB11201320086816,20132,EK201830006036,20183
SB11201120357132,20112,EK201830006037,20183
SB11201320562199,20132,EK201830006038,20183
SB11201320071615,20132,EK201830006039,20183
SB11201220055151,20122,EK201830006040,20183
SB11201320011954,20132,EK201830006042,20183
SB11201320148127,20132,EK201830006043,20183
SB11201320156575,20132,EK201830006044,20183
SB11201220323836,20122,EK201830006045,20183
SB11201120397629,20112,EK201830006046,20183
SB11201120009794,20112,EK201830006047,20183
SB11201220287275,20122,EK201830006048,20183
SB11201320039472,20132,EK201830006049,20183
SB11201420278227,20142,EK201830006050,20183
SB11201120421522,20112,EK201830006051,20183
SB11201120484001,20112,EK201830006052,20183
SB11201320497332,20132,EK201830006053,20183
SB1120072213682813,20072,EK201830006054,20183
SB11201220249882,20122,EK201830006055,20183
SB11201320029942,20132,EK201830006056,20183
SB11201320066557,20132,EK201830006057,20183
SB11201320036932,20132,EK201830006058,20183
SB11201020363027,20102,EK201830006059,20183
SB11201320049357,20132,EK201830006060,20183
SB11201220334003,20122,EK201830006061,20183
SB11201220356336,20122,EK201830006062,20183
SB11201320012302,20132,EK201830006066,20183
SB112009235456053,20092,EK201830006068,20183
SB11201220305167,20122,EK201830006069,20183
SB11201420455855,20142,EK201830006071,20183
SB11201220340314,20122,EK201830006072,20183
SB11201210055063,20121,EK201830006073,20183
SB11201020096810,20102,EK201830006074,20183
SB11201220319887,20122,EK201830006075,20183
SB11201220319761,20122,EK201830006076,20183
SB11201320040603,20132,EK201830006077,20183
SB11201120277266,20112,EK201830006112,20183
SB11201310035652,20131,EK201830006113,20183
SB1120092049750371,20092,EK201830006114,20183
SB11201220480499,20122,EK201830006115,20183
SB11201120393321,20112,EK201830006116,20183
SB11201220567719,20122,EK201830006117,20183
SB11201020027679,20102,EK201830006118,20183
SB11201220434861,20122,EK201830006119,20183
SB1120092455353328,20092,EK201830006120,20183
SB11201220297021,20122,EK201830006121,20183
SB11201220463847,20122,EK201830006122,20183
SB11201220326652,20122,EK201830006123,20183
SB1120092063379280,20092,EK201830006124,20183
SB11201320236744,20132,EK201830006125,20183
SB11201220479160,20122,EK201830006126,20183
SB11201220362845,20122,EK201830006127,20183
SB11201120354172,20112,EK201830006128,20183
SB11201220177984,20122,EK201830006129,20183
SB1120092235516253,20092,EK201830006130,20183
SB11201220322147,20122,EK201830006132,20183
SB11201220319127,20122,EK201830006133,20183
SB11201120323063,20112,EK201830006134,20183
SB11201320028066,20132,EK201830006135,20183
SB11201020354801,20102,EK201830006136,20183
SB11201320153658,20132,EK201830006137,20183
SB11201320342388,20132,EK201830006138,20183
SB11201320149841,20132,EK201830006139,20183
SB1120092479502743,20092,EK201830006140,20183
SB11201320067194,20132,EK201830006141,20183
SB11201220545443,20122,EK201830006142,20183
SB11201020337644,20102,EK201830006143,20183
SB11201120526538,20112,EK201830006144,20183
SB1120052501151510,20052,EK201830006145,20183
SB11201220294765,20122,EK201830006146,20183
SB11201020054784,20102,EK201830006147,20183
SB11201020279903,20102,EK201830006149,20183
SB11201220249552,20122,EK201830006150,20183
SB1120072101425737,20072,EK201830006151,20183
SB11201220477426,20122,EK201830006152,20183
SB11201020477761,20102,EK201830006153,20183
SB11201220589335,20122,EK201830006154,20183
SB11201220259057,20122,EK201830006155,20183
SB11201020482627,20102,EK201830006156,20183
SB11201220283502,20122,EK201830006157,20183
SB11201320032010,20132,EK201830006158,20183
SB1120082397295722,20082,EK201830006159,20183
SB11201320152760,20132,EK201830006160,20183
SB11201320073525,20132,EK201830006161,20183
SB1120082274636013,20082,EK201830006263,20183
SB11201320196751,20132,EK201830006264,20183
SB11201220338257,20122,EK201830006265,20183
SB11201220399393,20122,EK201830006267,20183
SB1120062366915726,20062,EK201830006268,20183
SB1120032267932293,20032,EK201830006269,20183
SB11201320070611,20132,EK201830006270,20183
SB11201320013142,20132,EK201830006271,20183
SB1120042189730583,20042,EK201830006273,20183
SB11201320570393,20132,EK201830006274,20183
SB11201120285060,20112,EK201830006275,20183
SB1120052150417494,20052,EK201830006276,20183
SB11201320094204,20132,EK201830006277,20183
SB11201320528784,20132,EK201830006278,20183
SB11201320159738,20132,EK201830006280,20183
SB11201320080668,20132,EK201830006281,20183
SB11201320012664,20132,EK201830006282,20183
SB11201320354922,20132,EK201830006283,20183
SB11201410027524,20141,EK201830006314,20183
SB11201320010851,20132,EK201830006315,20183
SB11201320170250,20132,EK201830006316,20183
SB11201020324987,20102,EK201830006317,20183
SB11201220335567,20122,EK201830006318,20183
SB11201420230366,20142,EK201830006319,20183
SB11201220323405,20122,EK201830006320,20183
SB11201220093973,20122,EK201830006321,20183
SB11201320012024,20132,EK201830006322,20183
SB11201320242339,20132,EK201830006323,20183
SB11201320243059,20132,EK201830006324,20183
SB11201120321032,20112,EK201830006325,20183
SB11201320295468,20132,EK201830006326,20183
SB11201220468760,20122,EK201830006327,20183
SB11201320321443,20132,EK201830006328,20183
